Name,LastName,FilePrefix,Organizer,Title,Institution,Field,Region,Country,Attending
"James T. McLeskey, Jr.",,mcleskey,Y,Associate Prof.,Virginia Commonwealth ,Organic Solar Cells,NA,U.S.A.,Y
Bruce Alphenaar,,,,Professor,University of Louisville,Organic Solar Cells,NA,U.S.A.,
Sheila Bailey,,,,Senior Physicist,NASA Glenn,Organic Solar Cells,NA,U.S.A.,
Sue Carter,,,,Associate Prof.,University of California at Santa Cruz,Organic Solar Cells,NA,U.S.A.,
"Hsiang-Yu Chen (Fishier)
Lead author on paper for world record polymer solar cell ",,,,Graduate Student,UCLA,Organic Solar Cells,NA,U.S.A.,
Alan J. Heeger,,,,Professor,UCSB,Organic Solar Cells,NA,U.S.A.,
Randy Heflin,,,,Professor,Virginia Tech,Organic Solar Cells,NA,U.S.A.,
Jinsong Huang,,,,Assistant Prof.,Nebraska ,Organic Solar Cells,NA,U.S.A.,
Michael McGehee,,,,Associate Prof.,Stanford,Organic Solar Cells,NA,U.S.A.,
Adam Moule,,,,Assistant Prof.,UC- Davis,Organic Solar Cells,NA,U.S.A.,
James McCusker,,,,Associate Prof.,Michigan State University,Organic Solar Cells,NA,U.S.A.,
Vitaly Podzorov,,,,Assistant Prof.,Rutgers,Organic Solar Cells,NA,U.S.A.,
Qiquan Qiao,,qiao,,Assistant Prof.,South Dakota State U,Organic Solar Cells,NA,U.S.A.,Y
Ryne Raffaelle,,,,Professor,RIT,Organic Solar Cells,NA,U.S.A.,
John Reynolds,,,,Professor,University of Florida,Organic Solar Cells,NA,U.S.A.,
Sam Sun,,,,Professor,Norfolk State University ,Organic Solar Cells,NA,U.S.A.,Y
Cheng Zhang,,,,Associate Prof.,Norfolk State University (HBCU),Organic Solar Cells,NA,U.S.A.,
Harry Atwater,,,,Chief Research Scientist,Cal Tech,Silicon Solar Cells and Graphene electrodes,NA,U.S.A.,
Howard Branz,,,,Principal Scientist,NREL,Silicon Solar Cells and Graphene electrodes,NA,U.S.A.,
David Carlson,,,,Chief Research Scientist,BP Solar,Silicon Solar Cells and Graphene electrodes,NA,U.S.A.,
Vikram Dalal,,,,Professor,Iowa State University,Silicon Solar Cells and Graphene electrodes,NA,U.S.A.,
Vivian Ferry,,,,Graduate Student,Cal Tech,Silicon Solar Cells and Graphene electrodes,NA,U.S.A.,
Supratik Guha,,guha,,Researcher,IBM,Silicon Solar Cells and Graphene electrodes,NA,U.S.A.,Y
Mool Gupta,,,,Professor,University of Virginia,Silicon Solar Cells and Graphene electrodes,NA,U.S.A.,Y
C. Scott Hartley,,,,Assistant Professor,Miami University of Ohio,Silicon Solar Cells and Graphene electrodes,NA,U.S.A.,
Gyeong Hwang,,,,Associate Professor,"UT-Austin
",Silicon Solar Cells and Graphene electrodes,NA,U.S.A.,
BK Nayak,,,,Research Scientist,University of Virginia,Silicon Solar Cells and Graphene electrodes,NA,U.S.A.,
